,,,"Scarborough Centre [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","  With total income",,   86995,,   41245,,   45750,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     94.2,,     94.3,,     94.2,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   17180,,    8065,,    9115,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",,   18505,,    7845,,   10660,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",,   13765,,    5980,,    7785,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",,   10680,,    4955,,    5725,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",,    8480,,    4070,,    4405,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",,    5860,,    3020,,    2840,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",,    4055,,    2180,,    1875,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",,    2785,,    1655,,    1130,,  479890,,  277725,,  202165,
"Income of individuals in 2015","    $80;000 to $89;999",,    1835,,    1120,,     720,,  378185,,  222095,,  156095,
"Income of individuals in 2015","    $90;000 to $99;999",,    1415,,     805,,     605,,  324810,,  181815,,  142995,
"Income of individuals in 2015","    $100;000 and over",,    2440,,    1550,,     890,,  909005,,  616420,,  292585,
"Income of individuals in 2015","      $100;000 to $149;999",,    1985,,    1235,,     750,,  600995,,  394410,,  206590,
"Income of individuals in 2015","      $150;000 and over",,     455,,     315,,     140,,  308010,,  222010,,   86000,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   92320,,   43730,,   48590,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without after-tax income",,    5310,,    2480,,    2830,,  478635,,  227025,,  251610,
"Income of individuals in 2015","  With after-tax income",,   87005,,   41250,,   45760,,10559805,, 5115825,, 5443980,
"Income of individuals in 2015","  Percentage with after-tax income",,     94.2,,     94.3,,     94.2,,     95.7,,     95.8,,     95.6,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   17345,,    8135,,    9210,, 1659280,,  722040,,  937235,
"Income of individuals in 2015","    $10;000 to $19;999",,   19145,,    8140,,   11010,, 1906875,,  777330,, 1129540,
"Income of individuals in 2015","    $20;000 to $29;999",,   15750,,    6975,,    8775,, 1623230,,  690290,,  932940,
"Income of individuals in 2015","    $30;000 to $39;999",,   12415,,    5865,,    6550,, 1377100,,  642645,,  734450,
"Income of individuals in 2015","    $40;000 to $49;999",,    8990,,    4480,,    4505,, 1166040,,  585490,,  580555,
"Income of individuals in 2015","    $50;000 to $59;999",,    5510,,    2905,,    2610,,  845305,,  464610,,  380700,
"Income of individuals in 2015","    $60;000 to $69;999",,    3310,,    1980,,    1330,,  604005,,  354015,,  249985,
"Income of individuals in 2015","    $70;000 to $79;999",,    2060,,    1215,,     845,,  465485,,  268140,,  197345,
"Income of individuals in 2015","    $80;000 and over",,    2485,,    1560,,     925,,  912490,,  611260,,  301230,
"Income of individuals in 2015","      $80;000 to $89;999",,    1145,,     675,,     470,,  299315,,  183410,,  115905,
"Income of individuals in 2015","      $90;000 to $99;999",,     560,,     355,,     200,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",,     775,,     520,,     255,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   92320,,   43725,,   48590,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",,   32350,,   13245,,   19105,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,   59970,,   30485,,   29485,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     65.0,,     69.7,,     60.7,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",,    8220,,    3945,,    4275,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",,    5600,,    2605,,    2990,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",,    9310,,    4475,,    4835,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",,    8100,,    3850,,    4250,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",,    7415,,    3700,,    3720,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",,    6420,,    3160,,    3260,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",,    4600,,    2505,,    2095,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",,    3265,,    1855,,    1410,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,    2245,,    1395,,     855,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",,    4790,,    2995,,    1795,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,    1585,,     985,,     600,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,    1295,,     715,,     580,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",,    1910,,    1295,,     615,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   40290,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   58368,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   53161,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,    9975,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   32155,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   29471,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   30315,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   69463,,,...,,...,   90967,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   63390,,,...,,...,   79528,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   40290,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   70624,,,...,,...,   97856,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   61903,,,...,,...,   80322,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,    9975,,,...,,..., 1341115,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   39427,,,...,,...,   49571,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   33129,,,...,,...,   40830,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   30315,,,...,,..., 3828060,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,   80892,,,...,,...,  114773,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   71374,,,...,,...,   94157,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   40290,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,    1095,,,...,,...,   86720,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     700,,,...,,...,   70245,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1165,,,...,,...,  134395,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1810,,,...,,...,  185245,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    1800,,,...,,...,  200770,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2050,,,...,,...,  189450,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2115,,,...,,...,  202580,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2110,,,...,,...,  207180,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2140,,,...,,...,  206605,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2055,,,...,,...,  202015,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    3645,,,...,,...,  388820,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    3210,,,...,,...,  363580,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    2805,,,...,,...,  335770,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    2360,,,...,,...,  309105,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1990,,,...,,...,  282740,,,...,,...
"Income of households in 2015","  $100;000 and over",,    9230,,,...,,..., 1803955,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    3750,,,...,,...,  560090,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    2315,,,...,,...,  394570,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,    2220,,,...,,...,  449885,,,...,,...
"Income of households in 2015","    $200;000 and over",,     950,,,...,,...,  399410,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   40295,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,    1125,,,...,,...,   92220,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     710,,,...,,...,   71480,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1190,,,...,,...,  136550,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1875,,,...,,...,  192920,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    1965,,,...,,...,  222605,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2255,,,...,,...,  211440,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2410,,,...,,...,  232755,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2445,,,...,,...,  244335,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2465,,,...,,...,  247645,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2300,,,...,,...,  241965,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    4140,,,...,,...,  463170,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    3515,,,...,,...,  422695,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    2930,,,...,,...,  388720,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    2400,,,...,,...,  342330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1955,,,...,,...,  290720,,,...,,...
"Income of households in 2015","  $100;000 and over",,    6610,,,...,,..., 1367630,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    3270,,,...,,...,  539915,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    1790,,,...,,...,  334420,,,...,,...
"Income of households in 2015","    $150;000 and over",,    1545,,,...,,...,  493295,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   29110,,,...,,..., 3689580,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   68671,,,...,,...,   91089,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   62742,,,...,,...,   79531,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.3,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,    6835,,,...,,..., 1280890,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   61303,,,...,,...,   81459,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   55635,,,...,,...,   71237,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   14325,,,...,,..., 1716115,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,   82416,,,...,,...,  115381,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   75043,,,...,,...,   99205,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.2,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    6625,,,...,,...,  584180,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   48100,,,...,,...,   54363,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   45559,,,...,,...,   50317,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.7,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   29050,,,...,,..., 3689080,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,   80401,,,...,,...,  115328,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   70903,,,...,,...,   94410,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,    6850,,,...,,..., 1280580,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   71359,,,...,,...,  104425,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   61849,,,...,,...,   84952,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   14380,,,...,,..., 1717295,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,   93490,,,...,,...,  140590,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,   82457,,,...,,...,  114144,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    6480,,,...,,...,  581945,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   59419,,,...,,...,   67748,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   53547,,,...,,...,   58742,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   14950,,    7140,,    7810,, 1818815,,  867175,,  951640,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   26484,,   26974,,   26115,,   32097,,   33925,,   30753,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   24951,,   25159,,   24840,,   29417,,   30678,,   28442,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   14970,,    7130,,    7835,, 1814575,,  864020,,  950555,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   34051,,   34795,,   33374,,   44298,,   46765,,   42057,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   29012,,   28824,,   29184,,   36874,,   38228,,   35644,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  110510,,   53085,,   57425,,13242160,, 6472205,, 6769955,
"Income of economic families in 2015","  In the bottom half of the distribution",,   71795,,   34070,,   37720,, 6335170,, 3016275,, 3318895,
"Income of economic families in 2015","    In the bottom decile",,   16725,,    7935,,    8790,, 1346645,,  651310,,  695335,
"Income of economic families in 2015","    In the second decile",,   16490,,    7610,,    8875,, 1280675,,  581380,,  699290,
"Income of economic families in 2015","    In the third decile",,   14685,,    6995,,    7690,, 1237415,,  583840,,  653575,
"Income of economic families in 2015","    In the fourth decile",,   12555,,    6045,,    6515,, 1223510,,  589740,,  633770,
"Income of economic families in 2015","    In the fifth decile",,   11345,,    5495,,    5850,, 1246925,,  610000,,  636930,
"Income of economic families in 2015","  In the top half of the distribution",,   38715,,   19015,,   19705,, 6906990,, 3455930,, 3451060,
"Income of economic families in 2015","    In the sixth decile",,   10125,,    4860,,    5265,, 1279095,,  629635,,  649465,
"Income of economic families in 2015","    In the seventh decile",,    9295,,    4580,,    4710,, 1321220,,  655840,,  665375,
"Income of economic families in 2015","    In the eighth decile",,    8330,,    4105,,    4215,, 1382795,,  691630,,  691165,
"Income of economic families in 2015","    In the ninth decile",,    7185,,    3545,,    3640,, 1464415,,  736030,,  728385,
"Income of economic families in 2015","    In the top decile",,    3790,,    1920,,    1865,, 1459465,,  742795,,  716670,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  110510,,   53085,,   57425,,13184055,, 6442930,, 6741130,
"Low income in 2015","  0 to 17 years",,   22055,,   11330,,   10730,, 2656535,, 1361905,, 1294630,
"Low income in 2015","    0 to 5 years",,    7120,,    3640,,    3475,,  835000,,  428025,,  406975,
"Low income in 2015","  18 to 64 years",,   72000,,   34615,,   37385,, 8418960,, 4110615,, 4308345,
"Low income in 2015","  65 years and over",,   16455,,    7145,,    9315,, 2108560,,  970405,, 1138155,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   24815,,   11475,,   13340,, 1898975,,  886530,, 1012445,
"Low income in 2015","  0 to 17 years",,    7125,,    3575,,    3545,,  489905,,  251830,,  238080,
"Low income in 2015","    0 to 5 years",,    2470,,    1245,,    1225,,  165140,,   84825,,   80310,
"Low income in 2015","  18 to 64 years",,   15035,,    6840,,    8195,, 1155315,,  538535,,  616780,
"Low income in 2015","  65 years and over",,    2655,,    1060,,    1595,,  253755,,   96170,,  157585,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     22.5,,     21.6,,     23.2,,     14.4,,     13.8,,     15.0,
"Low income in 2015","  0 to 17 years (%)",,     32.3,,     31.6,,     33.0,,     18.4,,     18.5,,     18.4,
"Low income in 2015","    0 to 5 years (%)",,     34.7,,     34.2,,     35.3,,     19.8,,     19.8,,     19.7,
"Low income in 2015","  18 to 64 years (%)",,     20.9,,     19.8,,     21.9,,     13.7,,     13.1,,     14.3,
"Low income in 2015","  65 years and over (%)",,     16.1,,     14.8,,     17.1,,     12.0,,      9.9,,     13.8,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   19900,,    9360,,   10535,, 1298590,,  627935,,  670650,
"Low income in 2015","  0 to 17 years",,    5430,,    2720,,    2710,,  304390,,  156575,,  147815,
"Low income in 2015","    0 to 5 years",,    1935,,     955,,     980,,  102750,,   52810,,   49935,
"Low income in 2015","  18 to 64 years",,   12790,,    6035,,    6760,,  887640,,  430545,,  457095,
"Low income in 2015","  65 years and over",,    1675,,     615,,    1065,,  106555,,   40815,,   65740,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     18.0,,     17.6,,     18.3,,      9.8,,      9.7,,      9.9,
"Low income in 2015","  0 to 17 years (%)",,     24.6,,     24.0,,     25.3,,     11.5,,     11.5,,     11.4,
"Low income in 2015","    0 to 5 years (%)",,     27.2,,     26.2,,     28.2,,     12.3,,     12.3,,     12.3,
"Low income in 2015","  18 to 64 years (%)",,     17.8,,     17.4,,     18.1,,     10.5,,     10.5,,     10.6,
"Low income in 2015","  65 years and over (%)",,     10.2,,      8.6,,     11.4,,      5.1,,      4.2,,      5.8,

Symbols:
...,not applicable

Notes:
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.
,Receipts excluded from this income definition are:
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;
,    *benefits from Employment Insurance and Québec parental insurance plan;
,    *child benefits from federal and provincial programs;
,    *social assistance benefits;
,    *workers' compensation benefits;
,    *Working income tax benefit;
,    *Goods and services tax credit and harmonized sales tax credit;
,    *other income from government sources.
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
