,,,"Scarborough--Guildwood [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   63246,,,...,,...,   80322,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,    8545,,,...,,..., 1341115,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   37866,,,...,,...,   49571,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   32583,,,...,,...,   40830,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   27390,,,...,,..., 3828060,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,   83029,,,...,,...,  114773,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   72813,,,...,,...,   94157,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   35890,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,     760,,,...,,...,   86720,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     915,,,...,,...,   70245,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1385,,,...,,...,  134395,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2025,,,...,,...,  185245,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    1655,,,...,,...,  200770,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    1800,,,...,,...,  189450,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    1785,,,...,,...,  202580,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    1765,,,...,,...,  207180,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    1765,,,...,,...,  206605,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    1635,,,...,,...,  202015,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    3165,,,...,,...,  388820,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    2565,,,...,,...,  363580,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    2315,,,...,,...,  335770,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    2035,,,...,,...,  309105,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1755,,,...,,...,  282740,,,...,,...
"Income of households in 2015","  $100;000 and over",,    8550,,,...,,..., 1803955,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    3295,,,...,,...,  560090,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    2100,,,...,,...,  394570,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,    1955,,,...,,...,  449885,,,...,,...
"Income of households in 2015","    $200;000 and over",,    1200,,,...,,...,  399410,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   35885,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,     790,,,...,,...,   92220,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     920,,,...,,...,   71480,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1405,,,...,,...,  136550,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2045,,,...,,...,  192920,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    1785,,,...,,...,  222605,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    1925,,,...,,...,  211440,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2030,,,...,,...,  232755,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    1960,,,...,,...,  244335,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2080,,,...,,...,  247645,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    1945,,,...,,...,  241965,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    3480,,,...,,...,  463170,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    2890,,,...,,...,  422695,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    2545,,,...,,...,  388720,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    2135,,,...,,...,  342330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1685,,,...,,...,  290720,,,...,,...
"Income of households in 2015","  $100;000 and over",,    6270,,,...,,..., 1367630,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    2965,,,...,,...,  539915,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    1610,,,...,,...,  334420,,,...,,...
"Income of households in 2015","    $150;000 and over",,    1705,,,...,,...,  493295,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   26340,,,...,,..., 3689580,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   68347,,,...,,...,   91089,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   62526,,,...,,...,   79531,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.3,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,    5920,,,...,,..., 1280890,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   67429,,,...,,...,   81459,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   60297,,,...,,...,   71237,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   12990,,,...,,..., 1716115,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,   82392,,,...,,...,  115381,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   74738,,,...,,...,   99205,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.2,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    6370,,,...,,...,  584180,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   45490,,,...,,...,   54363,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   43554,,,...,,...,   50317,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.8,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   26335,,,...,,..., 3689080,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,   82433,,,...,,...,  115328,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   72226,,,...,,...,   94410,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,    5980,,,...,,..., 1280580,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   80846,,,...,,...,  104425,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   69002,,,...,,...,   84952,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   12920,,,...,,..., 1717295,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,   95597,,,...,,...,  140590,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,   83800,,,...,,...,  114144,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    6405,,,...,,...,  581945,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   57428,,,...,,...,   67748,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   51877,,,...,,...,   58742,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   12940,,    6465,,    6475,, 1818815,,  867175,,  951640,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   22046,,   20080,,   23535,,   32097,,   33925,,   30753,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   21438,,   19776,,   22836,,   29417,,   30678,,   28442,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   13010,,    6425,,    6585,, 1814575,,  864020,,  950555,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   32807,,   31975,,   33619,,   44298,,   46765,,   42057,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   28489,,   27426,,   29526,,   36874,,   38228,,   35644,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  101035,,   48825,,   52210,,13242160,, 6472205,, 6769955,
"Income of economic families in 2015","  In the bottom half of the distribution",,   65925,,   31505,,   34420,, 6335170,, 3016275,, 3318895,
"Income of economic families in 2015","    In the bottom decile",,   18205,,    8860,,    9345,, 1346645,,  651310,,  695335,
"Income of economic families in 2015","    In the second decile",,   15670,,    7270,,    8400,, 1280675,,  581380,,  699290,
"Income of economic families in 2015","    In the third decile",,   12135,,    5740,,    6395,, 1237415,,  583840,,  653575,
"Income of economic families in 2015","    In the fourth decile",,   10530,,    5000,,    5530,, 1223510,,  589740,,  633770,
"Income of economic families in 2015","    In the fifth decile",,    9380,,    4635,,    4745,, 1246925,,  610000,,  636930,
"Income of economic families in 2015","  In the top half of the distribution",,   35110,,   17320,,   17795,, 6906990,, 3455930,, 3451060,
"Income of economic families in 2015","    In the sixth decile",,    8630,,    4215,,    4410,, 1279095,,  629635,,  649465,
"Income of economic families in 2015","    In the seventh decile",,    8095,,    3990,,    4105,, 1321220,,  655840,,  665375,
"Income of economic families in 2015","    In the eighth decile",,    7290,,    3545,,    3745,, 1382795,,  691630,,  691165,
"Income of economic families in 2015","    In the ninth decile",,    6690,,    3330,,    3365,, 1464415,,  736030,,  728385,
"Income of economic families in 2015","    In the top decile",,    4410,,    2240,,    2170,, 1459465,,  742795,,  716670,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  101035,,   48825,,   52210,,13184055,, 6442930,, 6741130,
"Low income in 2015","  0 to 17 years",,   21775,,   11210,,   10565,, 2656535,, 1361905,, 1294630,
"Low income in 2015","    0 to 5 years",,    7050,,    3675,,    3375,,  835000,,  428025,,  406975,
"Low income in 2015","  18 to 64 years",,   64240,,   31030,,   33205,, 8418960,, 4110615,, 4308345,
"Low income in 2015","  65 years and over",,   15025,,    6585,,    8440,, 2108560,,  970405,, 1138155,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   26295,,   12360,,   13935,, 1898975,,  886530,, 1012445,
"Low income in 2015","  0 to 17 years",,    8140,,    4165,,    3975,,  489905,,  251830,,  238080,
"Low income in 2015","    0 to 5 years",,    2815,,    1435,,    1380,,  165140,,   84825,,   80310,
"Low income in 2015","  18 to 64 years",,   15405,,    7160,,    8250,, 1155315,,  538535,,  616780,
"Low income in 2015","  65 years and over",,    2750,,    1035,,    1715,,  253755,,   96170,,  157585,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     26.0,,     25.3,,     26.7,,     14.4,,     13.8,,     15.0,
"Low income in 2015","  0 to 17 years (%)",,     37.4,,     37.2,,     37.6,,     18.4,,     18.5,,     18.4,
"Low income in 2015","    0 to 5 years (%)",,     39.9,,     39.0,,     40.9,,     19.8,,     19.8,,     19.7,
"Low income in 2015","  18 to 64 years (%)",,     24.0,,     23.1,,     24.8,,     13.7,,     13.1,,     14.3,
"Low income in 2015","  65 years and over (%)",,     18.3,,     15.7,,     20.3,,     12.0,,      9.9,,     13.8,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   21475,,   10385,,   11090,, 1298590,,  627935,,  670650,
"Low income in 2015","  0 to 17 years",,    6355,,    3265,,    3090,,  304390,,  156575,,  147815,
"Low income in 2015","    0 to 5 years",,    2215,,    1135,,    1085,,  102750,,   52810,,   49935,
"Low income in 2015","  18 to 64 years",,   13320,,    6475,,    6840,,  887640,,  430545,,  457095,
"Low income in 2015","  65 years and over",,    1805,,     645,,    1160,,  106555,,   40815,,   65740,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     21.3,,     21.3,,     21.2,,      9.8,,      9.7,,      9.9,
"Low income in 2015","  0 to 17 years (%)",,     29.2,,     29.1,,     29.2,,     11.5,,     11.5,,     11.4,
"Low income in 2015","    0 to 5 years (%)",,     31.4,,     30.9,,     32.1,,     12.3,,     12.3,,     12.3,
"Low income in 2015","  18 to 64 years (%)",,     20.7,,     20.9,,     20.6,,     10.5,,     10.5,,     10.6,
"Low income in 2015","  65 years and over (%)",,     12.0,,      9.8,,     13.7,,      5.1,,      4.2,,      5.8,

Symbols:
...,not applicable

Notes:
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.
,Receipts excluded from this income definition are:
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;
,    *benefits from Employment Insurance and Québec parental insurance plan;
,    *child benefits from federal and provincial programs;
,    *social assistance benefits;
,    *workers' compensation benefits;
,    *Working income tax benefit;
,    *Goods and services tax credit and harmonized sales tax credit;
,    *other income from government sources.
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
